resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,2.568605,0,0,0,0,1,stim/VC_01.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.655565,0,1,1,1,1,stim/VC_11.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,space,2.199415,right,0.526365,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.82933,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.503755,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.601475,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.941335,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,right,1.491475,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,right,1.165285,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5e67032bc302df492496fbaa,2021-01-06_09h13.15.799,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.66687,0,7,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
