participant,exp,language,step_cont,response,l1,l2
5ad9fe1b80491c000142e065,vowels,english,3,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,1,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,11,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,8,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,6,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,9,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,7,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,4,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,11,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,4,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,1,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,6,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,3,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,9,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,5,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,2,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,8,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,7,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,2,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,4,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,11,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,9,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,6,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,1,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,8,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,7,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,3,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,5,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,6,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,4,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,8,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,5,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,3,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,11,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,7,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,1,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,9,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,2,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,1,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,8,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,3,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,2,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,9,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,5,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,7,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,6,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,4,0,Spanish,English
5ad9fe1b80491c000142e065,vowels,english,11,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,35,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-35,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-15,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,25,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-25,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,50,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-5,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-30,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,5,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,45,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,20,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-10,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,15,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,30,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,40,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-20,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,25,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-35,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,40,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,20,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,30,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-25,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-15,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-10,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-5,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,15,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-30,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,35,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,45,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-20,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,5,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,50,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,5,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,45,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-25,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,15,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-10,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-30,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,40,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-20,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-15,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-35,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,25,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,50,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,35,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-5,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,30,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,20,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,30,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,35,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-20,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,20,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-10,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,45,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,50,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,40,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,5,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-35,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-30,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,25,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-5,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-15,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-25,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,15,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,35,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-30,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,20,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-25,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,10,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,45,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-5,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,15,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-20,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,30,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,25,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-15,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,5,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,40,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-35,0,Spanish,English
5ad9fe1b80491c000142e065,stops,english,50,1,Spanish,English
5ad9fe1b80491c000142e065,stops,english,-10,0,Spanish,English
5b2a091e7297750001c7653e,vowels,english,6,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,4,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,10,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,9,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,5,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,3,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,2,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,7,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,1,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,8,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,11,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,9,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,10,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,2,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,7,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,4,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,8,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,3,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,6,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,1,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,11,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,5,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,11,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,10,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,1,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,7,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,4,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,3,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,8,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,2,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,9,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,5,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,6,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,4,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,6,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,9,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,10,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,5,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,3,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,1,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,2,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,8,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,7,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,11,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,4,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,7,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,3,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,1,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,9,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,6,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,10,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,5,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,2,0,English,Spanish
5b2a091e7297750001c7653e,vowels,english,8,1,English,Spanish
5b2a091e7297750001c7653e,vowels,english,11,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-30,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-10,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,45,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,50,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,5,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,25,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,20,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,40,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,30,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-25,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-15,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,15,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-20,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,10,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,35,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-35,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-5,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-5,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,10,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-15,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-25,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-30,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-20,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,20,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,50,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-35,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,30,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,35,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,15,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,40,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,5,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,25,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,45,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-10,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-35,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-10,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-5,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-25,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,20,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,10,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-30,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,35,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,50,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,15,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,30,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,40,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-15,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,45,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,25,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-20,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,5,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-30,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,15,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-25,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,35,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-35,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,40,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,10,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-15,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-10,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,45,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,30,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,50,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,20,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,25,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,5,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-5,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-20,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,40,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,30,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-15,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-35,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,5,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-10,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,-20,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,20,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,10,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-5,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-30,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,15,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,-25,0,English,Spanish
5b2a091e7297750001c7653e,stops,english,45,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,35,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,50,1,English,Spanish
5b2a091e7297750001c7653e,stops,english,25,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,10,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,1,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,7,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,2,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,11,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,5,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,3,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,9,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,4,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,8,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,6,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,10,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,8,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,2,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,1,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,11,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,7,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,5,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,9,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,6,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,3,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,4,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,10,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,9,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,11,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,4,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,7,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,2,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,5,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,8,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,1,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,3,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,6,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,4,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,10,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,9,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,5,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,11,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,6,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,1,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,7,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,8,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,3,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,2,0,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,4,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,8,1,English,Spanish
5b67bffa9ed653000189ff3c,vowels,english,10,1,English,Spanish
