"","participant","exp","l1","english","spanish","l3","l3_group"
"1","5b67bffa9ed653000189ff3c","vowels","English",-0.166812546183469,-0.149632882923575,-0.208935638217976,"french"
"2","5d3df88c6a5b1e0001a91d8d","vowels","English",-0.155145786877891,-0.196729621254501,-0.225382668025257,"french"
"3","5dab79a5525a7600139cd31e","vowels","English",-0.157330845318046,-0.166946924290075,-0.153210430139349,"french"
"4","5dc483cf74939e34e55c3619","vowels","English",-0.11131188717255,-0.128420191611955,-0.118983818341678,"french"
"5","5ea01b4b2d7b4d0243d93f78","vowels","English",-0.133256820986517,-0.0804279388237304,-0.128393977136363,"french"
"6","5ed39d114858d002a0691781","vowels","English",-0.224269956916304,-0.203146903562354,-0.224269956916304,"french"
"7","5ef34cc943115906d6aa397f","vowels","English",-0.128397538821183,-0.061176853967172,-0.0901425922036855,"french"
"8","5f2bffa8d4f0d601244ab240","vowels","English",-0.153210430139349,-0.153210430139349,-0.166946924290113,"french"
"9","5f51e044db8a35429f9d6e7b","vowels","English",-0.1093598795079,-0.147632512298514,-0.151559311231442,"french"
"10","5f5f5013f947f6000bd8ddcb","vowels","English",-0.147632512298516,-0.176317539548574,-0.176317539548574,"french"
"11","5f989fa02b5a611b2df1a305","vowels","English",-0.120134609929586,-0.105221637385066,-0.105221637385066,"french"
"12","5fa0bf0afbd42f13cf56e987","vowels","English",-0.0999255634475485,-0.149632882923575,-0.0223946047871118,"french"
"13","5fac89c216b5ae293eb9cfd9","vowels","English",-0.109203444247825,-0.0804135137355632,-0.101676157607622,"french"
"14","5fad49057daf5f0162284e86","vowels","English",-0.149632882923575,-0.109157994486928,-0.105221637385066,"french"
"15","5fbb445fed317dc4907cfad4","vowels","English",-0.0900218719441968,-0.140679216712042,-0.198564417718868,"french"
"16","5fceb47a2cc34e169c85d3d7","vowels","English",-0.176529334406337,-0.0804498925857004,-0.0324528789270018,"french"
"17","5fd529f2c346b034c758c278","vowels","English",-0.157220239303261,-0.157142506067715,-0.176317539548574,"french"
"18","5a08c9a7f2e3460001edb063","vowels","English",-0.138108826114424,-0.155145786877891,-0.147632512298516,"hungarian"
"19","5b2a091e7297750001c7653e","vowels","English",-0.166946924290118,-0.167526037474302,-0.17770715707947,"hungarian"
"20","5c8be0dd542fbd0016924f5f","vowels","English",-0.109157994486928,-0.118679888816521,-0.133215974434348,"hungarian"
"21","5cf83992bab656000198a9c6","vowels","English",-0.176317539548574,-0.245545289334484,-0.203146903562354,"hungarian"
"22","5dd733664524e76dc4537fe2","vowels","English",-0.118679888816521,-0.05166862882001,-0.105221637385066,"hungarian"
"23","5e67032bc302df492496fbaa","vowels","English",-0.147619622465893,-0.120915277353423,-0.129540688814974,"hungarian"
"24","5ec5a55832a7515e8324a8a8","vowels","English",-0.120134609936188,-0.0901274967438104,-0.0516686288200099,"hungarian"
"25","5f174566f589920a8ba7e2df","vowels","English",-0.151559311231442,-0.186716749996535,-0.232240388678999,"hungarian"
"26","5f464897fd3e1a000a17db32","vowels","English",-0.100244066705661,-0.129540688814974,-0.100447279361986,"hungarian"
"27","5f4bf4536b68b57e64ad4f2d","vowels","English",-0.1092300570695,-0.12842019161196,-0.157142506067715,"hungarian"
"28","5f56143fd7f57c9e86a26bfa","vowels","English",-0.138014767786031,-0.107138792985624,-0.149632882923575,"hungarian"
"29","5fb31c2b353c5ea37f63bdc6","vowels","English",-0.0324323402564876,-0.061282282431011,-0.0612650782376619,"hungarian"
"30","5fc1df101de4be2f7e501f2c","vowels","English",-0.365989024073426,-0.138541409602155,-0.107138792985624,"hungarian"
"31","5fc679e8b4c6de107d3ba8f5","vowels","English",-0.103586279356329,-0.107138792985624,-0.109203444247825,"hungarian"
"32","5fd9889065c9f726aeaed2ae","vowels","English",-0.197585794424317,-0.176375600809567,-0.111724080838054,"hungarian"
"33","5fe1788f2178d1c1b4af5bbd","vowels","English",-0.128478814548241,-0.138834838829641,-0.130352284462537,"hungarian"
"34","5fe92ffe2c2ee638b14a6d29","vowels","English",-0.0612650782376619,-0.151559311231442,-0.100070200257362,"hungarian"
"35","563bb259be9cac0005aab7ab","vowels","Spanish",-0.0572370151899248,-0.105221637385066,-0.109157994486928,"hungarian"
"36","5ad9fe1b80491c000142e065","vowels","Spanish",-0.149632882923575,-0.166812546184092,-0.157142506067715,"hungarian"
"37","5cf5fe247ce340001ac0bdd8","vowels","Spanish",-0.139623173011933,-0.162521793760986,-0.176406030305173,"hungarian"
"38","5d4cc624ae079c0019f544b6","vowels","Spanish",0.0367874001515174,-0.0516198943239242,-0.0537023127356646,"hungarian"
"39","5d7c7425c0d7db00187b1199","vowels","Spanish",-0.196120213730259,-0.0572370151899248,-0.1092300570695,"hungarian"
"40","5d97bf1cfaa2860015b165a6","vowels","Spanish",-0.0278954088504222,-0.118679888816521,-0.118679888816522,"hungarian"
"41","5e111e34e69d0a80632daba6","vowels","Spanish",-0.109279389722854,-0.153210430139349,-0.128951822145106,"hungarian"
"42","5e3f7b673ba9991dc9cabcfa","vowels","Spanish",-0.0420162251537012,-0.055608467581311,-0.0516289012865506,"hungarian"
"43","5e88a67c651ae60009602e69","vowels","Spanish",-0.157142506067715,-0.197585794424317,-0.177707157253702,"hungarian"
"44","5e8e520df84fbf114143b0a2","vowels","Spanish",-0.0803926037917953,-0.0421466422186237,-0.0324323402564876,"hungarian"
"45","5ec28db2622c500632dc95bc","vowels","Spanish",-0.0612396684742677,-0.0515632003326186,-0.140117803109132,"hungarian"
"46","5f00962ef7b0241ae371d912","vowels","Spanish",-0.0420003701776657,-0.0708688539111028,-0.0617930225452249,"hungarian"
"47","5f19dc86afa07c0894f60578","vowels","Spanish",0.0618200725155387,-0.00368748830025429,-0.0537023127356646,"hungarian"
"48","5f2dfe7552744f15bee0423c","vowels","Spanish",-0.128740640316611,-0.151559311231442,-0.084174089286592,"hungarian"
"49","5f3050933b5a04118e4a4f73","vowels","Spanish",-0.061176853967172,-0.0130356004855056,-0.0516289012865506,"hungarian"
"50","5f3344917a7a0b159bd0c375","vowels","Spanish",-0.105221637385066,-0.118679888816521,-0.0612313139794847,"hungarian"
"51","5f4056738318181904984b01","vowels","Spanish",-0.176375600809567,-0.197585794424317,-0.205454283356012,"hungarian"
"52","5f4e8e05550a4d095a76387f","vowels","Spanish",-0.055608467581311,-0.0901274967438104,-0.0708451126095155,"hungarian"
"53","5f6265b707ccb62ae21f22a2","vowels","Spanish",-0.0516686288200099,-0.055608467581311,-0.0537023127356646,"hungarian"
"54","5f67c61d4084d6407fb4a346","vowels","Spanish",-0.042026141556575,-0.0591431700499712,-0.055608467581311,"hungarian"
"55","5f6916f985575a0f22ec8f69","vowels","Spanish",-0.0228236108429852,-0.0324175439326838,-0.0036874883002543,"hungarian"
"56","5f6aca6b9b8c12072e3b670c","vowels","Spanish",-0.0996496350640077,-0.147841329161307,-0.101676157607622,"hungarian"
"57","5f749c73a22350067f962e98","vowels","Spanish",-0.0516289012865506,-0.0712865482554671,-0.0612508892231561,"hungarian"
"58","5fb409b846be3f02e4bba819","vowels","Spanish",-0.103586279356329,-0.0904508781320784,-0.128397538813081,"hungarian"
"59","5fbef81be5a619162a47170c","vowels","Spanish",-0.0901274967438104,-0.103586279356329,-0.128420191611961,"hungarian"
"60","5fd9684eb6ce932447f5e810","vowels","Spanish",-0.153210430139349,-0.167179488217397,-0.16666399860488,"hungarian"
"61","5fefa6ca19762831d10054bc","vowels","Spanish",-0.0804131425306944,-0.105221637385066,-0.128347174436576,"hungarian"
"62","60069526535f9aa0acab5ba3","vowels","Spanish",-0.070819341230607,-0.0900218719441969,-0.0996622438471876,"hungarian"
"63","5b77869d338a9300015468cf","vowels","Spanish",-0.0708065086095717,-0.103586279356329,-0.12858382251427,"french"
"64","5c72dea09048710001bce0d4","vowels","Spanish",-0.0591431700499712,-0.105221637385066,-0.128393977136363,"french"
"65","5d159d0a8078020016aa60b9","vowels","Spanish",-0.0900218719441968,-0.0996142940551688,-0.0997225333825317,"french"
"66","5d5c7b0c98683400182d00cb","vowels","Spanish",-0.0900430695864905,-0.109157994486928,-0.0996496350640077,"french"
