resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,2.93927,0,0,0,0,1,stim/VC_01.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.725665,0,1,1,1,1,stim/VC_11.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,space,2.52293,left,0.62263,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,left,0.6753,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.620665,0,2,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.644915,0,3,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,left,0.53832,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.78565,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.639885,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.713165,0,7,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.598505,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.806795,0,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,left,1.185145,0,10,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5e715701ce063b0808993033,2021-01-07_16h13.22.978,English_step1,2020.2.3,Win32,60,,,right,0.602715,1,0,11,9,1,,,,,,,,,,,,,,,,,,,,,,,,
