resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,1.44385,0,0,0,0,1,stim/VC_01.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.929355,0,1,1,1,1,stim/VC_11.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,space,0.96298,right,1.03082,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.750145,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,left,0.708975,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.69982,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,left,0.6268,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.596745,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.78355,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.547705,0,7,7,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.633905,0,8,8,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,left,0.506855,0,9,9,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.56138,0,10,10,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,left,0.566675,1,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.56958,1,1,12,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.605935,1,2,13,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.55026,1,3,14,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.900745,1,4,15,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,left,0.47643,1,5,16,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d7c7425c0d7db00187b1199,2021-01-21_22h02.31.209,Hungarian_step4,2020.2.3,Win32,60,,,right,0.804335,1,6,17,3,1,,,,,,,,,,,,,,,,,,,,,,,
