resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,4.84812,0,0,0,1,1,stim/VC_11.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,1.1494,0,1,1,0,1,stim/VC_01.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,space,2.333605,right,1.155295,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,left,0.583315,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.702755,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.55086,0,3,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.66712,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,left,0.79968,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.616605,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.76622,0,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,left,0.61636,0,8,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.60064,0,9,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.69954,0,10,10,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.633015,1,0,11,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,right,0.51587,1,1,12,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fad49057daf5f0162284e86,2020-12-17_10h43.21.198,English_step1,2020.2.3,MacIntel,60,,,left,0.71927,1,2,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,
