resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,2.439885,0,0,0,0,1,stim/VC_01.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.50125,0,1,1,1,1,stim/VC_11.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,space,3.336635,right,1.270735,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,right,0.94697,0,1,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,1.02315,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,right,2.20144,0,3,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,2.4812,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,1.05857,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,1.1173,0,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,0.91383,0,7,7,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,1.21749,0,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,0.94659,0,9,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,right,0.82907,0,10,10,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,right,0.80088,1,0,11,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,right,0.85264,1,1,12,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,right,0.95101,1,2,13,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,0.93172,1,3,14,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,0.78713,1,4,15,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,0.81059,1,5,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,right,0.898365,1,6,17,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,0.781355,1,7,18,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fb31c2b353c5ea37f63bdc6,2021-01-20_16h18.41.310,English_step1,2020.2.3,Win32,60,,,left,1.060345,1,8,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,
