resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,0.956405,0,0,0,1,1,stim/VC_11.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.543135,0,1,1,0,1,stim/VC_01.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,space,0.325605,left,0.634795,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,right,0.93397,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,right,0.70353,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,left,0.500655,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,left,0.480215,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,right,0.44185,0,5,5,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,right,0.490055,0,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,left,0.398845,0,7,7,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6916f985575a0f22ec8f69 ,2021-02-24_15h30.41.618,Spanish_step2,2020.2.3,Win32,60,,,right,0.45103,0,8,8,9,1,,,,,,,,,,,,,,,,,,,,,,,
