resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,2.587245,0,0,0,1,1,stim/VC_11.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.815045,0,1,1,0,1,stim/VC_01.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,space,2.722125,right,0.891155,0,0,0,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,1.220415,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,1.567775,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,10.5516,0,3,3,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,left,0.69122,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,left,0.681365,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.54034,0,6,6,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.634855,0,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.77454,0,8,8,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.61153,0,9,9,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.65115,0,10,10,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.567615,1,0,11,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.518795,1,1,12,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,left,0.4742,1,2,13,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f464897fd3e1a000a17db32,2021-01-06_20h02.12.623,Spanish_step2,2020.2.3,Win32,60,,,right,0.499805,1,3,14,6,1,,,,,,,,,,,,,,,,,,,,,,,
