resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,1.172095,0,0,0,0,1,stim/VC_01.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.618115,0,1,1,1,1,stim/VC_11.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,space,6.966285,left,0.75065,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,left,0.525705,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.81139,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.70657,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,left,0.612875,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,left,0.816975,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.533685,0,6,6,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.48737,0,7,7,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.471255,0,8,8,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.41106,0,9,9,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,left,0.601605,0,10,10,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.67718,1,0,11,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.44083,1,1,12,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,left,0.59457,1,2,13,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.56701,1,3,14,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5b77869d338a9300015468cf,2021-01-20_16h01.33.277,Spanish_step2,2020.2.3,Win32,60,,,right,0.74161,1,4,15,5,1,,,,,,,,,,,,,,,,,,,,,,,
