resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,1.661935,0,0,0,1,1,stim/VC_11.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.643735,0,1,1,0,1,stim/VC_01.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,space,1.551735,right,0.949835,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,right,0.65262,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,right,0.718765,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,right,0.569945,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,right,0.901445,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,right,0.63648,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,right,0.83465,0,6,6,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5ed39d114858d002a0691781,2020-12-17_18h02.38.786,Spanish_step2,2020.2.3,Win32,60,,,right,0.667915,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,
